match_id,runs,No. of balls,fours,sixes
1,22,6,2,0
2,13,41,1,0
3,7,16,1,0
4,8,11,1,0
5,7,12,0,0
6,3,12,0,0
7,30,34,2,0
8,7,10,0,0
9,10,15,1,0
10,7,13,1,0
11,30,21,4,1
12,11,26,0,0
13,17,38,0,0
14,25,11,3,0
15,20,47,1,0
16,16,22,1,0
17,7,10,0,0
18,1,2,0,0
19,0,1,0,0
20,14,38,1,0
21,16,48,0,0
22,21,34,0,0
23,27,25,0,0
24,5,4,1,0
25,15,22,1,0
26,3,2,0,0
27,18,16,1,0
28,20,39,1,0
29,0,3,0,0
30,5,3,1,0
31,29,47,1,0
32,12,45,0,0
33,5,14,1,0
34,19,16,0,0
35,4,10,0,0
36,25,19,3,0
37,18,4,3,0
38,13,27,0,0
39,2,4,0,0
40,9,12,1,0
41,17,35,0,0
42,13,25,1,0
43,22,39,1,0
44,24,25,2,0
45,19,27,2,0
46,26,26,3,0
47,6,8,0,1
48,15,25,0,0
49,20,29,0,0
50,13,20,0,0
