match_id,runs,No. of balls,fours,sixes
1 , 32 , 49 , 4 , 0
2 , 21 , 59 , 1 , 0  
3 , 58 , 26 , 7 , 3  
4 , 93 , 42 , 5 , 4  
5 , 77 , 63 , 5 , 2  
6 , 46 , 38 , 1 , 1  
7 , 12 , 27 , 0 , 0  
8 , 82 , 34 , 6 , 4  
9 , 50 , 78 , 3 , 0  
10 , 30 , 17 , 5 , 0 
11 , 61 , 77 , 4 , 0 
12 , 95 , 70 , 8 , 5
13 , 71 , 36 , 6 , 5 
14 , 4 , 14 , 0 , 0  
15 , 70 , 70 , 8 , 0 
16 , 46 , 60 , 2 , 0 
17 , 9 , 5 , 1 , 0  
18 , 6 , 5 , 1 , 0  
19 , 65 , 57 , 4 , 1  
20 , 63 , 66 , 5 , 3
21 , 56 , 46 , 4 , 3
22 , 96 , 62 , 7 , 3
23 , 75 , 78 , 2 , 2 
24 , 2 , 7 , 0 , 0   
25 , 70 , 100 , 4 , 3
26 , 86 , 66 , 8 , 0 
27 , 49 , 40 , 4 , 0
28 , 11 , 9 , 0 , 0 
29 , 9 , 9 , 0 , 0 
30 , 52 , 32 , 4 , 0 
31 , 32 , 48 , 1 , 0 
32 , 44 , 48 , 0 , 2 
33 , 61 , 43 , 4 , 0 
34 , 47 , 32 , 6 , 2 
35 , 89 , 65 , 3 , 3 
36 , 30 , 20 , 2 , 1 
37 , 38 , 63 , 0 , 0 
38 , 75 , 53 , 6 , 4  
39 , 92 , 79 , 10 , 3 
40 , 8 , 5 , 1 , 0
41 , 67 , 100 , 1 , 3
42 , 2 , 2 , 0 , 0
43 , 72 , 58 , 8 , 0
44 , 81 , 42 , 8 , 3
45 , 7 , 6 , 0 , 1
46 , 74 , 49 , 10 , 4
47 , 41 , 32 , 1 , 2
48 , 42 , 47 , 1 , 0
49 , 19 , 26 , 1 , 0
50 , 40 , 25 , 1 , 4
