match_id,runs,No. of balls,fours,sixes
1 , 53 , 46 , 4 , 2
2 , 69 , 33 , 9 , 1  
3 , 73 , 40 , 9 , 3  
4 , 98 , 10 , 7 , 4  
5 , 55 , 22 , 5 , 3  
6 , 44 , 10 , 5 , 2  
7 , 19 , 5 , 2 , 1  
8 , 65 , 22 , 6 , 5  
9 , 14 , 8 , 1 , 1  
10 , 44 , 53 , 3 , 1 
11 , 73 , 60 , 0 , 5 
12 , 71 , 83 , 8 , 4 
13 , 91 , 43 , 8 , 2 
14 , 31 , 32 , 2 , 1  
15 , 1 , 2 , 0, 0  
16 , 27 , 25 , 0 , 0 
17 , 48 , 34 , 2 , 2  
18 , 80 , 75 , 3 , 5 
19 , 58 , 83 , 5 , 0 
20 , 9 , 12 , 1 , 0  
21 , 3 , 5 , 0 , 0  
22 , 95 , 68 , 5 , 2 
23 , 69 , 43 , 0 , 5 
24 , 100 , 51 , 9 , 2
25 , 12 , 9 , 0 , 0
26 , 87 , 53 , 3 , 4 
27 , 23 , 22 , 0 , 0
28 , 6 , 4 , 0 , 0  
29 , 3 , 4 , 0 , 0  
30 , 44 , 50 , 4 , 1 
31 , 82 , 36 , 9 , 4 
32 , 35 , 20 , 2 , 2
33 , 34 , 24 , 2 , 1 
34 , 75 , 68 , 5 , 3 
35 , 89 , 59 , 4 , 3 
36 , 11 , 4 , 2 , 0 
37 , 30 , 24 , 4 , 0 
38 , 72 , 39 , 6 , 4 
39 , 78 , 78 , 1 , 3  
40 , 0 , 2 ,0 ,0
41 , 2 , 1 , 0 , 0
42 , 57 , 41 , 8 , 0
43 , 21 , 20 , 3 , 0
44 , 48 , 52 , 5 , 2
45 , 59 , 49 , 2 , 2
46 , 88 , 64 , 3 , 4
47 , 66 , 74 , 4 , 2
48 , 49 , 26 , 4 , 1
49 , 47 , 18 , 3 , 1
50 , 65 , 57 , 5 , 0
