match_id,runs,No. of balls,fours,sixes
1 , 10 , 13 , 0 , 0
2 , 27 , 18 , 1 , 0
3 , 13 , 17 , 0 , 0
4 , 15 , 25 , 1 , 0
5 , 11 , 14 , 1 , 0
6 , 20 , 30 , 0 , 0
7 , 12 , 16 , 2 , 0
8 , 30 , 29 , 1 , 1
9 , 23 , 24 , 2 , 0
10 , 22 , 24 , 3 , 0
11 , 20 , 20 , 2 , 0
12 , 3 , 5 , 0 , 0
13 , 22 , 32 , 1 , 0
14 , 3 , 6 , 0 , 0
15 , 11 , 15 , 1 , 0
16 , 20 , 25 , 0 , 0
17 , 16 , 20 , 0 , 0
18 , 5 , 5 , 0 , 0
19 , 6 , 21 , 0 , 0
20 , 5 , 22 , 0 , 0
21 , 28 , 40 , 0 , 0
22 , 12 , 3 , 1 , 1
23 , 18 , 20 , 0 , 0
24 , 4 , 6 , 0 , 0
25 , 13 , 7 , 1 , 0
26 , 30 , 39 , 0 , 0
27 , 13 , 10 , 1 , 0
28 , 16 , 16 , 1 , 0
29 , 12 , 26 , 1 , 0
30 , 9 , 7 , 0 , 0
31 , 6 , 7 , 0 , 0
32 , 11 , 12 , 0 , 0
33 , 5 , 8 , 0 , 0
34 , 8 , 12 , 0 , 0
35 , 29 , 23 , 1 , 0
36 , 12 , 20 , 1 , 0
37 , 9 , 12 , 0 , 0
38 , 26 , 22 , 1 , 0
39 , 3 , 3 , 0 , 0
40 , 24 , 31 , 0 , 0
41 , 11 , 26 , 0 , 0
42 , 30 , 50 , 2 , 0
43 , 27 , 26 , 2 , 0
44 , 23 , 39 , 0 , 0
45 , 18 , 22 , 1 , 0
46 , 30 , 27 , 0 , 0
47 , 10 , 20 , 0, 0
48 , 55 , 42 , 3 , 0
49 , 5 , 3 , 0 , 0
50 , 7 , 9 , 0 , 0
