match_id,runs,No. of balls,fours,sixes
1,135,85,13,6
2,10,31,1,0
3,20,24,4,0
4,31,84,2,3
5,71,95,4,5
6,67,46,6,2
7,150,75,10,5
8,74,126,5,0
9,93,80,7,1
10,29,13,1,2
11,122,145,10,3
12,15,12,1,0
13,54,98,8,1
14,30,98,0,1
15,127,66,4,6
16,57,19,10,2
17,47,46,4,0
18,48,14,8,2
19,79,41,4,5
20,103,63,4,8
21,62,113,7,1
22,124,135,12,5
23,16,19,1,0
24,97,34,10,2
25,136,145,10,4
26,2,3,0,0
27,40,40,1,4
28,141,106,3,6
29,117,108,10,3
30,96,82,9,4
31,23,15,1,1
32,74,62,4,5
33,128,157,7,3
34,56,56,5,0
35,144,83,10,6
36,22,14,0,3
37,62,132,0,0
38,37,21,2,2
39,148,123,12,6
40,36,6,0,6
41,21,86,0,1
42,37,61,3,0
43,33,18,4,3
44,100,66,9,4
45,46,113,0,4
46,120,102,9,3
47,77,44,3,3
48,98,70,6,3
49,61,132,7,4
50,83,93,6,0
