match_id,runs,No. of balls,fours,sixes
1 ,70,20,6,2
2 ,44,30,2,1  
3 ,86,94,3,4  
4 ,71,91,9,1  
5 ,29, 8 , 4 , 1  
6 ,34 , 58 , 2 , 3  
7 ,35 , 21 , 3 , 1  
8 ,50 , 62 , 6 , 0  
9 ,80 , 72 , 7 , 2  
10 ,42 , 33 , 3 , 1  
11 ,38 , 61 , 4 , 0 
12 ,22 , 22 , 0 , 0 
13 ,49 , 37 , 7 , 2 
14 ,39 , 29 , 3 , 0 
15 ,59 , 67 , 7 , 2 
16 ,8 , 3 , 0, 0   
17 ,61 , 73 , 3 , 5 
18 ,30 , 10 , 1 , 4
19 ,82 , 53 , 5 , 4 
20 ,89 , 36 , 6 , 5 
21 ,47 , 39 , 3 , 4 
22 ,110 , 65 , 12 , 2 
23 ,98 , 80 , 4 , 3  
24 ,25 , 30 , 0 , 1 
25 ,10 , 20 , 0 ,0
26 ,26 , 27 , 1, 0 
27 ,44 , 73 , 3 ,3 
28 ,65 , 40 , 6 , 5  
29 ,81 , 73 , 8 , 4 
30 ,13 , 6 , 1 , 0 
31 ,93 , 52 , 8 , 5 
32 ,79 , 76 , 9 , 3 
33 ,81 , 73 , 9 , 5
34 ,88 , 41 , 6 , 3 
35 ,46 , 26 , 0 , 3 
36 ,74 , 52 , 9 , 1  
37 ,35 , 59 , 2 , 0 
38 ,75 , 35 , 7 , 4 
39 ,27 , 49 , 3 , 0 
40 ,47 , 26 , 8 ,1
41 ,40 , 65 , 7 , 1
42 ,37 , 30 , 1 , 2
43 ,21 , 9 , 4 , 0
44 ,52 , 30 , 5 , 3
45 ,35 , 54 , 4 , 0
46 ,82 , 54 , 8 , 2
47 ,68 , 62 , 9 ,1
48 ,68 , 34 , 9 , 3
49 ,100 , 86 , 5 , 6
50 ,138 , 66 , 10 , 5
