match_id,runs,No. of balls,fours,sixes
1,125,64,12,4
2,119,34,13,6
3,19,11,0,0
4,52,45,5,2
5,68,40,6,1
6,67,43,7,3
7,89,32,10,1
8,18,22,1,1
9,135,121,10,4
10,110,62,11,8
11,55,116,1,3
12,84,73,8,2
13,121,64,9,5
14,74,37,3,2
15,75,71,6,4
16,44,84,2,2
17,101,74,8,5
18,74,40,4,4
19,149,81,12,6
20,81,76,5,5
21,146,101,13,4
22,42,132,1,2
23,60,97,4,1
24,102,109,6,3
25,57,21,3,2
26,16,15,0,1
27,139,69,10,3
28,130,42,9,8
29,232,124,15,10
30,86,133,6,3
31,33,19,2,1
32,63,87,4,5
33,138,72,6,3
34,114,148,9,4
35,43,76,4,0
36,71,112,6,1
37,14,18,0,0
38,57,102,1,3
39,36,108,1,1
40,110,37,6,6
41,100,120,10,1
42,106,63,1,10
43,35,12,2,0
44,39,58,2,1
45,39,83,0,3
46,100,69,12,1
47,88,97,9,3
48,26,10,0,2
49,119,77,20,1
50,6,4,0,0
