match_id,runs,No. of balls,fours,sixes
1 , 48 , 34 , 3 , 2
2 , 24 , 17 , 2 , 0  
3 , 26 , 15 , 0 , 2 
4 , 19 , 18 , 2 , 1 
5 , 24 , 28 , 2 , 1 
6 , 12 , 11 , 0 , 1 
7 , 35 , 25 , 4 , 1  
8 , 44 , 31 , 3 , 1  
9 , 19 , 18 , 2 , 1 
10 , 32 , 23 , 2 , 1
11 , 40 , 34 , 3 , 1 
12 , 47 , 37 , 3 , 1 
13 , 13 , 7 , 2 , 0
14 , 50 , 29 , 5 , 1 
15 , 17 , 13 , 1 , 0 
16 , 42 , 36 , 1 , 2 
17 , 48 , 34 , 3 , 0
18 , 15 , 17 , 1 , 0
19 , 5 , 2 , 1 , 0  
20 , 44 , 30 , 4 , 1
21 , 24 , 21 , 2 , 1
22 , 43 , 35 , 4 , 2
23 , 38 , 28 , 1 , 2
24 , 13 , 9 , 2 , 0 
25 , 32 , 12 , 4 , 2 
26 , 18 , 14 , 2 , 0
27 , 14 , 12 , 0 , 1
28 , 35 , 21 , 5 , 0
29 , 28 , 30 , 2 , 0
30 , 31 , 25 , 4 , 1
31 , 20 , 10 , 4 , 0
32 , 28 , 16 , 3 , 1
33 , 29 , 14 , 3 , 1
34 , 37 , 18 , 4 , 1
35 , 33 , 25 , 3 , 0
36 , 40 , 26 , 1,1
37 , 46 , 17 , 3 , 2
38 , 25 , 13 , 4 , 0
39 , 0 , 1 , 0 , 0 
40 , 29 , 23 , 3 , 1
41 , 39 , 30 , 4 , 2
42 , 25 , 20 , 0 , 1
43 , 26 , 24 , 2 , 1
44 , 40 , 22 , 2 , 2
45 , 33 , 17 , 3 , 1
46 , 16 , 10 , 1 , 1
47 , 13 , 8 , 0 , 0
48 , 41 , 23 , 5 , 1
49 , 42 , 38 , 2 , 1
50 , 42 , 16 , 4 , 2
