match_id,runs,No. of balls,fours,sixes
1,116,81,15,4
2,54,41,2,1
3,4,10,0,0
4,69,53,8,1
5,111,81,10,5
6,35,84,0,0
7,54,85,9,1
8,121,130,10,4
9,63,43,2,4
10,114,146,2,7
11,77,81,11,1
12,145,102,8,9
13,48,77,4,0
14,149,61,8,8
15,149,128,13,7
16,52,36,7,0
17,144,84,10,8
18,120,115,6,2
19,137,83,8,4
20,115,94,3,4
21,62,49,3,4
22,132,118,14,2
23,26,16,1,1
24,138,59,10,5
25,82,140,9,6
26,44,33,2,3
27,51,36,3,2
28,17,19,1,0
29,46,91,1,3
30,96,77,5,6
31,98,56,4,6
32,126,69,9,6
33,140,79,12,5
34,75,60,6,3
35,110,106,9,6
36,49,33,2,2
37,105,72,14,3
38,99,97,15,0
39,62,73,3,5
40,20,18,0,0
41,47,55,1,2
42,150,131,10,5
43,124,100,8,8
44,118,62,9,5
45,46,21,3,3
46,84,93,5,2
47,147,80,14,4
48,82,43,6,4
49,71,35,9,2
50,15,10,0,0
