match_id,runs,No. of balls,fours,sixes
1 , 2 , 1 , 0 , 0
2 , 16 , 29 , 1 , 0
3 , 11 , 20 , 0 , 0
4 , 19 , 27 , 1 , 0
5 , 26 , 10 , 3 , 1
6 , 8 , 7 , 0 , 0
7 , 20 , 35 , 1 , 0
8 , 14 , 26 , 1 , 0
9 , 22 , 18 , 1 , 0
10 , 1 , 4 ,0 , 0
11 , 22 , 23 , 2 , 0
12 , 17 , 13 , 1 , 0
13 , 17 , 21 , 1 , 0
14 , 9 , 11 , 0 , 0
15 , 20 , 19 , 2 , 0
16 , 15 , 30 , 0 , 0
17 , 30 , 28 , 1 , 1
18 , 30 , 34 , 0 , 0
19 , 19 , 13 , 2 , 0
20 , 6 , 1 , 0 , 1
21 , 9 , 7 , 0 , 0
22 , 8 , 18 , 0 , 0
23 , 10 , 18 , 0 , 0
24 , 29 , 34 , 1 , 0
25 , 9 , 9 , 0 , 0
26 , 8 , 14 , 1 , 0
27 , 18 , 13 , 1 , 0
28 , 11 , 17 , 0 , 0
29 , 7 , 12 , 0 , 0
30 , 29 , 29 , 1 , 0
31 , 26 , 23 , 1 , 0
32 , 14 , 13 , 1 , 0
33 , 7 , 9 , 0 , 0
34 , 16 , 11 , 0 , 0
35 , 3 , 13 , 0 , 0
36 , 19 , 12 , 1 , 0
37 , 17 , 22 , 0 , 0
38 , 10 , 12 , 0 , 0
39 , 6 , 12 , 0 , 0
40 , 10 , 19 , 1 , 0
41 , 20 , 29 , 0 , 0
42 , 19 , 22 , 0 , 0
43 , 13 , 26 , 0 , 0
44 , 2 , 4 , 0 , 0
45 , 9 , 6 , 0 , 0
46 , 20 , 26 , 1 , 0
47 , 24 , 13 , 0 , 0
48 , 26 , 19 , 1 , 0
49 , 7 , 11 , 0 , 0
50 , 14 , 16 , 1 , 0
